probe_person,gallery_person,probe_image,label,quality_score,best_similarity,margin
ca si╠â Tru╠¢o╠¢ng The╠é╠ü Vinh,ca si╠â Ma╠únh Quy╠Çnh,1671998210610973000.jpg,0,21.58547592163086,0.25603926,0.11347899
ca si╠â Tua╠é╠ün Hu╠¢ng,ca si╠â Tua╠é╠ün Hu╠¢ng,1671998389820379000.jpg,1,15.809667587280273,0.4705742,0.2141884
ca si╠â Tua╠é╠ün Hu╠¢ng,ca si╠â Phu╠¢o╠¢ng Thanh,1671998389820379000.jpg,0,15.809667587280273,0.2563858,0.2141884
ca si╠â U╠¢ng Hoa╠Çng Phu╠üc,ca si╠â U╠¢ng Hoa╠Çng Phu╠üc,1671998352301456000.jpg,1,14.897220611572266,0.20361009,0.02918601
ca si╠â U╠¢ng Hoa╠Çng Phu╠üc,ca si╠â O╠éng Cao Tha╠å╠üng,1671998352301456000.jpg,0,14.897220611572266,0.2327961,0.02918601
ca si╠â Vanh Leg,ca si╠â Vanh Leg,1671998384091065000.jpg,1,19.72040557861328,0.4382809,0.038930476
ca si╠â Vanh Leg,ca si╠â Leg,1671998384091065000.jpg,0,19.72040557861328,0.39935043,0.038930476
ca si╠â Va╠ån Mai Hu╠¢o╠¢ng,ca si╠â Va╠ån Mai Hu╠¢o╠¢ng,1671998424454778000.jpg,1,19.18181610107422,0.346839,0.10747826
ca si╠â Va╠ån Mai Hu╠¢o╠¢ng,ca si╠â Ho╠é╠Ç Quy╠Çnh Hu╠¢o╠¢ng,1671998424454778000.jpg,0,19.18181610107422,0.23936075,0.10747826
ca si╠â Vie╠ú╠ét Johan,ca si╠â Vie╠ú╠ét Johan,1671998204920882000.jpg,1,20.29892349243164,0.15641594,0.016690612
ca si╠â Vie╠ú╠ét Johan,ca si╠â Hoa╠Çi La╠ém,1671998204920882000.jpg,0,20.29892349243164,0.30368245,0.016690612
ca si╠â Vu╠¢o╠¢ng La╠úc ─Éan,ca si╠â Vu╠¢o╠¢ng La╠úc ─Éan,1671998355528115000.jpg,1,20.44470977783203,0.10819899,0.11245304
ca si╠â Vu╠¢o╠¢ng La╠úc ─Éan,ca si╠â Suni Ha╠ú Linh,1671998355528115000.jpg,0,20.44470977783203,0.2564181,0.11245304
ca si╠â Vu╠â Ca╠üt Tu╠¢o╠¢╠Çng,ca si╠â Vu╠â Ca╠üt Tu╠¢o╠¢╠Çng,1671998373453838000.jpg,1,15.810657501220703,0.26082528,0.06149265
ca si╠â Vu╠â Ca╠üt Tu╠¢o╠¢╠Çng,ca si╠â Anh Tho╠¢,1671998373453838000.jpg,0,15.810657501220703,0.19933262,0.06149265
ca si╠â ─Éan Tru╠¢o╠¢╠Çng,ca si╠â ─Éan Tru╠¢o╠¢╠Çng,1671998330189033000.jpg,1,18.48748779296875,0.4312565,0.17718819
ca si╠â ─Éan Tru╠¢o╠¢╠Çng,ca si╠â Ma╠únh Quy╠Çnh,1671998330189033000.jpg,0,18.48748779296875,0.25406832,0.17718819
ca si╠â ─Éa╠Çm Vi╠ânh Hu╠¢ng,ca si╠â ─Éa╠Çm Vi╠ânh Hu╠¢ng,1671998428071820000.jpg,1,16.875106811523438,0.008819321,0.048536718
ca si╠â ─Éa╠Çm Vi╠ânh Hu╠¢ng,ca si╠â O╠éng Cao Tha╠å╠üng,1671998428071820000.jpg,0,16.875106811523438,0.28473073,0.048536718
ca si╠â ─Éa╠ång Kho╠éi,ca si╠â ─Éa╠ång Kho╠éi,1671998417730313000.jpg,1,23.238357543945312,0.5953567,0.35266384
ca si╠â ─Éa╠ång Kho╠éi,ca si╠â O╠éng Cao Tha╠å╠üng,1671998417730313000.jpg,0,23.238357543945312,0.24269286,0.35266384
ca si╠â ─Éinh Duy Chinh,ca si╠â ─Éinh Duy Chinh,1671998476758106000.jpg,1,16.729942321777344,0.50206566,0.20535484
ca si╠â ─Éinh Duy Chinh,ca si╠â Ly╠ü Ha╠ëi,1671998476758106000.jpg,0,16.729942321777344,0.29671082,0.20535484
ca si╠â ─Éo╠éng Nhi,ca si╠â ─Éo╠éng Nhi,1671998411934186000.jpg,1,18.54124641418457,0.06717534,0.1603384
ca si╠â ─Éo╠éng Nhi,ca si╠â Emily,1671998411934186000.jpg,0,18.54124641418457,0.39059806,0.1603384
